dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,18,1.50703,1.89921,1.06666,4.4729,1.43584,1.98415,1.08197,4.50196,0.46652,0.58092,0.51531,0.27044,0.0004422922
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,19,1.48565,1.88517,1.03997,4.41079,1.72552,2.1516,1.16018,5.0373,0.44853,0.52741,0.4621,0.17518,0.0003872404
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,20,1.46684,1.93216,1.05095,4.44995,1.63828,2.09856,1.12692,4.86376,0.4798,0.55113,0.49889,0.19652,0.0003340318
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,21,1.40124,1.94713,1.08139,4.42976,1.35345,1.89836,1.05137,4.303179999999999,0.51641,0.60244,0.57192,0.306,0.00028325000000000003
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,22,1.33207,1.78734,1.04114,4.160550000000001,1.28132,1.84933,1.04406,4.17471,0.52924,0.60464,0.58218,0.3521,0.0002354508
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,23,1.34854,1.82813,1.06289,4.23956,1.30621,1.87479,1.04792,4.2289200000000005,0.54598,0.6181,0.58232,0.34426,0.00019115824
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,24,1.3075,1.79797,1.05822,4.163690000000001,1.34145,1.87878,1.05315,4.2733799999999995,0.55952,0.61793,0.58931,0.33298,0.00015085754
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,25,1.32285,1.74421,1.03791,4.10497,1.31182,1.83583,1.04357,4.19122,0.57903,0.61821,0.60896,0.34931,0.00011499046
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,26,1.27316,1.69566,1.02812,3.99694,1.25818,1.78084,1.02905,4.06807,0.58641,0.6282,0.62691,0.37835,8.394918e-05
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,27,1.23277,1.62616,1.0262,3.88513,1.22463,1.74344,1.0226,3.9906699999999997,0.59408,0.63523,0.63683,0.39768,5.80745e-05
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,28,1.20364,1.64731,1.01885,3.8698,1.21122,1.71981,1.02125,3.95228,0.59523,0.63822,0.64025,0.40741,3.7649700000000006e-05
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,29,1.15056,1.59904,1.02175,3.77135,1.21232,1.71909,1.02209,3.9535,0.59821,0.63365,0.64056,0.40737,2.289862e-05
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,30,1.19261,1.66834,1.01586,3.87681,1.20619,1.71092,1.02151,3.9386200000000002,0.59767,0.63462,0.64136,0.41067,1.3982846e-05
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,1,3.70181,4.9042,2.18421,10.790220000000001,3.23426,4.91835,2.06094,10.21355,0.00084,0.05018,0.00079,0.00023,0.000132
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,2,2.75984,4.54746,1.60976,8.91706,2.14208,4.53483,1.39745,8.07436,0.00299,0.15053,0.03502,0.00951,0.0002742542
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,3,2.21691,4.20126,1.35461,7.77278,1.78378,4.39121,1.18769,7.36268,0.01238,0.3341,0.07006,0.02472,0.00041347880000000006
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,4,2.09412,3.91369,1.27406,7.28187,1.75462,4.20438,1.13291,7.0919099999999995,0.01434,0.54637,0.08403,0.02419,0.0005474084
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,5,2.04047,3.58803,1.2043,6.8328,1.73813,3.93152,1.11789,6.78754,0.435,0.0745,0.07999,0.03288,0.0006738718
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,6,1.93686,3.37233,1.17191,6.4811,1.79796,3.62845,1.17971,6.60612,0.29646,0.17417,0.11032,0.04127,0.0007908291999999999
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,7,1.85968,3.0562,1.17242,6.088299999999999,1.62244,3.32341,1.08684,6.0326900000000006,0.31731,0.25208,0.13928,0.06477,0.0008964079999999999
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,8,1.89908,2.94163,1.17924,6.01995,1.60939,3.08568,1.09038,5.78545,0.24039,0.31512,0.18673,0.09392,0.0009601418
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,9,1.74831,2.71439,1.13832,5.60102,1.68369,2.98655,1.12624,5.79648,0.21638,0.32738,0.20561,0.10002,0.000919842
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,10,1.81027,2.68459,1.15143,5.6462900000000005,1.56719,2.81653,1.0892,5.47292,0.23712,0.3961,0.23236,0.12086,0.0008755498
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,11,1.72045,2.54875,1.10429,5.373489999999999,1.51468,2.57965,1.101,5.19533,0.30378,0.43689,0.29831,0.15543,0.00082775
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,12,1.72432,2.41212,1.13042,5.26686,1.49404,2.50669,1.09603,5.09676,0.31032,0.40348,0.31489,0.16481,0.0007769684
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,13,1.62906,2.38441,1.10208,5.11555,1.46293,2.43248,1.09194,4.98735,0.29857,0.47437,0.34788,0.17644,0.0007237602
