dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate,last_5_epoch_mean,previous_5_epoch_mean,delta,best_epoch,best_metric,last_epoch_metric,convergence_status
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,55,1.33371,1.57204,1.03229,3.93804,1.37267,1.5113,1.07512,3.95909,0.69736,0.67862,0.73108,0.4147,0.000398664,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,56,1.3175,1.51238,1.04289,3.87277,1.35839,1.48352,1.07415,3.91606,0.70627,0.68229,0.74125,0.42741,0.0003848083333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,57,1.4063,1.54823,1.05309,4.00762,1.22928,1.40562,1.03764,3.6725399999999997,0.73981,0.69472,0.76265,0.48199,0.0003710215,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,58,1.35955,1.45217,1.01504,3.82676,1.2038,1.38232,1.02741,3.61353,0.74324,0.70216,0.76815,0.49087,0.00035731716666666664,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,59,1.39411,1.47047,1.02957,3.8941500000000002,1.32711,1.44175,1.05439,3.82325,0.73751,0.69552,0.75732,0.43562,0.000343709,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,60,1.39481,1.51292,1.03936,3.94709,1.45032,1.49889,1.08327,4.03248,0.71772,0.69582,0.74864,0.39137,0.00033020916666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,61,1.33831,1.51753,1.03814,3.89398,1.24321,1.4019,1.03355,3.67866,0.73637,0.70748,0.76333,0.47537,0.00031683316666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,62,1.34726,1.47041,1.03013,3.8477999999999994,1.193,1.36149,1.02395,3.5784400000000005,0.74984,0.69517,0.76444,0.49601,0.0003035923333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,63,1.4343,1.46503,1.04024,3.93957,1.19875,1.36904,1.02436,3.59215,0.75971,0.68986,0.76533,0.49675,0.00029050033333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,64,1.38386,1.44669,1.02158,3.85213,1.38696,1.45324,1.06725,3.9074500000000003,0.74989,0.68447,0.75886,0.42768,0.0002775708333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,65,1.26527,1.43337,0.99733,3.69597,1.70939,1.62429,1.15666,4.49034,0.73866,0.64194,0.71613,0.31014,0.0002648151666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
